Epoch,Train_Loss,Val_Loss
1,6.1589,5.0248
2,4.6229,4.0944
3,4.0612,3.7605
4,3.7923,3.5417
5,3.6021,3.3802
6,3.4543,3.2563
7,3.3369,3.1516
8,3.2378,3.0572
9,3.1436,2.9877
10,3.0718,2.9398
11,3.0129,2.8988
12,2.9631,2.8543
13,2.9200,2.8305
14,2.8825,2.8035
15,2.8480,2.7732
16,2.8170,2.7545
17,2.7871,2.7329
18,2.7604,2.7111
19,2.7360,2.7003
20,2.7134,2.6752
21,2.6918,2.6649
22,2.6720,2.6539
23,2.6526,2.6396
24,2.6350,2.6322
25,2.6180,2.6208
26,2.6029,2.6110
27,2.5875,2.6073
28,2.5735,2.6005
29,2.5601,2.5866
30,2.5476,2.5848
31,2.5360,2.5793
32,2.5238,2.5708
33,2.5134,2.5633
34,2.5020,2.5739
35,2.4915,2.5622
36,2.4824,2.5595
37,2.4725,2.5540
38,2.4635,2.5526
39,2.4548,2.5580
40,2.4460,2.5429
